,Stocks,Sector,Link
334,Graphite India,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
335,Great Eastern Shipping Company,Transportation,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
336,Gujarat Mineral Development Corp,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
337,Gujarat Narmada Valley Fertilisers & Chemicals,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
338,Gujarat State Petronet,Utilities,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
339,HFCL,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
340,Happiest Minds Technologies,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
341,Himadri Speciality Chemical,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
342,Hindustan Copper,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
343,Honasa Consumer,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
344,Housing & Urban Development Corporation,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
345,IDFC,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
346,IIFL Finance,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
347,IRB Infrastructure Developers,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
348,IRCON International,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
349,ITI,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
350,Indiamart Intermesh,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
351,Indian Energy Exchange,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
353,Intellect Design Arena,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
354,JB Chemicals & Pharmaceuticals,Healthcare,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
355,JBM Auto,Consumer Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
356,Jammu & Kashmir Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
357,Jyothy Labs,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
358,KEC International,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
359,Karur Vysya Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
360,Mahanagar Gas,Utilities,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
361,Manappuram Finance,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
362,Mangalore Refinery & Petrochemicals,Energy,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
363,Multi Commodity Exchange Of India,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
364,NBCC India,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
365,NCC,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
366,NLC India,Utilities,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
367,NMDC Steel,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
368,Narayana Hrudayalaya,Healthcare,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
369,Natco Pharma,Healthcare,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
370,National Aluminium Company,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
371,Navin Fluorine International,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
372,Nippon Life,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
373,Olectra Greentech,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
374,PNB Housing Finance,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
375,PVR Inox,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
376,Piramal Pharma,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
377,Praj Industries,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
378,R R Kabel,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
379,RBL Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
380,RITES,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
381,Radico Khaitan,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
382,Ramkrishna Forgings,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
383,Raymond,Consumer Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
384,Redington India,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
385,Shree Renuka Sugars,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
386,Shyam Metalics & Energy,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
387,Sonata Software,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
388,Swan Energy,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
389,Tanla Platforms,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
390,Tata Investment Corporation,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
391,Tata Teleservices Maharashtra,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
392,Tejas Networks,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
393,Titagarh Rail Systems,Transportation,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
394,Trident,Consumer Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
395,Triveni Turbines,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
396,UCO Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
397,Ujjivan Small Finance Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
398,Welspun Living,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
426,JSW Energy,Utilities,https://www.livemint.com/market/nifty-next-50-stocks-I0032
427,Jindal Steel & Power,Basic Materials,https://www.livemint.com/market/nifty-next-50-stocks-I0032
428,Jio Financial Services,,https://www.livemint.com/market/nifty-next-50-stocks-I0032
430,Life Insurance Corporation of India,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
431,Macrotech Developers,Capital Goods,https://www.livemint.com/market/nifty-next-50-stocks-I0032
432,NHPC,Utilities,https://www.livemint.com/market/nifty-next-50-stocks-I0032
434,Power Finance Corp,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
435,Punjab National Bank,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
436,REC,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
437,Samvardhana Motherson International,Consumer Cyclical,https://www.livemint.com/market/nifty-next-50-stocks-I0032
440,TVS Motor Co,Consumer Cyclical,https://www.livemint.com/market/nifty-next-50-stocks-I0032
442,Torrent Pharmaceuticals,Healthcare,https://www.livemint.com/market/nifty-next-50-stocks-I0032
443,Union Bank Of India,Financial,https://www.livemint.com/market/nifty-next-50-stocks-I0032
444,United Spirits,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-next-50-stocks-I0032
445,Varun Beverages,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-next-50-stocks-I0032
447,Zomato,Technology,https://www.livemint.com/market/nifty-next-50-stocks-I0032
448,Zydus Lifesciences,Healthcare,https://www.livemint.com/market/nifty-next-50-stocks-I0032
460,BSE,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
477,Escorts Kubota,Capital Goods,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
480,Fertilizers & Chemicals Travan,Basic Materials,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
481,Fortis Healthcare,Healthcare,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
482,GMR Airports Infrastructure,Transportation,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
491,Indian Bank,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
493,Indraprastha Gas,Utilities,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
496,JSW Infrastructure,,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
498,KPIT Technologies,Technology,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
499,Kalyan Jewellers India,Services,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
500,L&T FINANCE,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
501,L&T Technology Services,Capital Goods,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
502,LIC Housing Finance,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
503,Laurus Labs,Healthcare,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
505,MRF,Consumer Cyclical,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
507,Mahindra & Mahindra Financial,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
508,Mankind Pharma,,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
510,Max Healthcare Institute,Healthcare,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
511,Mazagon Dock Shipbuilders,Transportation,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
514,NMDC,Basic Materials,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
515,Oberoi Realty,Capital Goods,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
516,Oil India,Energy,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
517,One 97 Communications,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
518,Oracle Financial Services Softwa,Technology,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
520,PB Fintech,Technology,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
522,Patanjali Foods,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
523,Persistent Systems,Technology,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
524,Petronet LNG,Energy,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
525,Piramal Enterprises,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
526,Polycab India,Technology,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
527,Poonawalla Fincorp,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
528,Prestige Estates Projects,Services,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
529,Rail Vikas Nigam,Capital Goods,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
530,SJVN,Utilities,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
531,Sona Blw Precision Forgings,Consumer Cyclical,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
532,Steel Authority Of India,Basic Materials,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
533,Sun TV Network,Services,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
534,Supreme Industries,Basic Materials,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
535,Suzlon Energy,Capital Goods,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
536,Syngene International,Healthcare,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
537,Tata Chemicals,Basic Materials,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
538,Tata Communications,Services,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
540,Tata Technologies,,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
541,Torrent Power,Utilities,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
542,Tube Investments Of India,Consumer Cyclical,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
545,Vodafone Idea,Services,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
547,Yes Bank,Financial,https://www.livemint.com/market/nifty-midcap-100-stocks-I0011
560,63 Moons Technologies,Technology,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
561,ADF Foods,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
562,AGI Greenpac,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
564,ARIHANT CAP,Financial,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
565,ASM Technologies,Technology,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
567,Aarti Surfactants,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
569,Accelya Solutions India,Technology,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
570,Action Construction Equipment,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
572,Ador Welding,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
573,Advanced Enzyme Technologies,Healthcare,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
577,Agarwal Industrial Corporation,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
578,Agro Tech Foods,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
579,Ahluwalia Contracts India,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
581,Ajmera Realty & Infra India,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
583,Alembic,Healthcare,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
585,Alicon Castalloy,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
587,Allcargo Logistics,Services,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
588,Allied Digital Services,Technology,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
592,Ambika Cotton Mills,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
593,Ami Organics,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
594,Anand Rathi Wealth,Financial,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
595,Anant Raj,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
596,Andhra Paper,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
597,Andhra Petrochemicals,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
598,Andrew Yule & Company,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
600,Anjani Portland Cement,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
601,Antony Waste Handling Cell,Transportation,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
602,Anuh Pharma,Healthcare,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
605,Apcotex Industries,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
606,Apex Frozen Foods,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
607,Apollo Pipes,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
609,Aptech,Services,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
611,Arihant Superstructures,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
612,Arman Financial Services,Financial,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
613,Artemis Medicare Services,Healthcare,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
614,Arvind,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
615,Arvind Fashions,Services,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
616,Arvind Smartspaces,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
618,Ashapura Minechem,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
619,Ashiana Housing,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
620,Ashoka Buildcon,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
621,Asian Energy Services,Energy,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
622,Asian Granito India,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
623,Associated Alcohols Breweries,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
624,Astec Lifesciences,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
626,Astra Microwave Products,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
629,Atul Auto,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
630,Aurionpro Solutions,Technology,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
631,Automotive Axles,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
632,Automotive Stampings & Assemblies,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
633,Avadh Sugar & Energy,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
635,Avt Natural Products,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
636,Aym Syntex,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
638,BCL Industries,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
639,BF Investment,Financial,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
640,BF Utilities,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
641,BGR Energy Systems,Capital Goods,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
642,BHAGIRADHA CHEMICALS & INDUSTRI,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
643,BHARAT BIJLEE,Technology,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
646,Bajaj Consumer Care,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
648,Bajaj Healthcare,Healthcare,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
649,Bajaj Hindusthan Sugar,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
651,Balaji Telefilms,Services,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
652,Balmer Lawrie & Company,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
653,Balmer Lawrie Investments Ord B,Basic Materials,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
655,Banco Products India,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
657,Bannari Amman Spinning Mills,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
658,Bannari Amman Sugars,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
659,Barbeque Nation Hospitality,Services,https://www.livemint.com/market/s-p-bse-smallcap-stocks-I0038
687,Clean Science & Technology,Basic Materials,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
701,Gillette India,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
705,Godrej Industries,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
711,ICICI Securities,Financial,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
723,Kansai Nerolac Paints,Basic Materials,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
733,Motilal Oswal Financial Services,Financial,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
735,Muthoot Finance,Financial,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
739,Nuvoco Vistas Corporation,Capital Goods,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
744,P&G Hygiene & Health Care,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
753,Rajesh Exports,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
754,Relaxo Footwears,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
757,Schaeffler India,Basic Materials,https://www.livemint.com/market/s-p-bse-midcap-stocks-I0036
